id,company_name,title,description,experience,education,employment_type,salary,location,deadline,tech_stack,created_at
,(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",,신입·경력,학력무관,정규직·병역특례,,서울전체,"~ 12/31(화)
입사지원",,
,에릭슨엘지(주),[Ericsson-LG] SW Developer (신입/경력),,신입·경력,대졸↑,정규직,,서울 금천구,"~ 01/02(목)
홈페이지 지원",,
,(주)클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력),,경력무관,학력무관,정규직,,서울 강남구,"~ 12/29(일)
입사지원",,
,알디에스(주),알디에스(오뚜기IT자회사) IT (웹)운영개발 사원모집,,신입,대졸↑,정규직,,서울 강남구,"~ 12/22(일)
입사지원",,
,(주)이스트게임즈,[신입] 캐주얼 전략액션 클라이언트/모바일 실시간전략게임 서버,,신입,학력무관,정규직,,서울 서초구,"~ 01/04(토)
홈페이지 지원",,
,메타빌드(주),메타빌드(주) AI 개발자 인재 채용,,경력무관,대졸↑,정규직,,서울 서초구,"~ 01/10(금)
입사지원",,
,(주)소만사,판교에서 함께 근무할 오픈스택 클라우드 플랫폼 개발자,,경력무관,초대졸↑,정규직,,서울 영등포구,"내일마감
입사지원",,
,㈜칸테크,ORACLE/PYTHON/JAVA/SQL 개발자 모집,,경력무관,초대졸↑,정규직,,서울 강남구,"~ 01/05(일)
입사지원",,
,(주)영신디엔씨,㈜영신디엔씨 각 부문 신입 및 경력 채용,,신입·경력,대졸↑,정규직·계약직,,서울 서초구,"~ 12/18(수)
입사지원",,
,(주)지란지교시큐리티,지란지교시큐리티 각 부문별 인재 채용,,신입·경력,학력무관,정규직,,경기 성남시 수정구,"~ 12/17(화)
입사지원",,
,(주)영신디엔씨,㈜영신디엔씨 각 부문 신입 및 경력 채용,,신입·경력,대졸↑,정규직·계약직,,서울 서초구,"~ 12/18(수)
입사지원",,
,(주)케이엘넷,각 부문 신입/경력 채용공고,,신입·경력,초대졸↑,정규직·계약직,,서울 강남구,"~ 12/16(월)
입사지원",,
,(주)푸드테크,㈜푸드테크 하반기 신입/경력 전부문 채용,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,(주)두다지,불법 저작권 모니터링 시스템 개발 및 운영,,신입·경력,대졸↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,㈜리버트론,[정규직] 소프트웨어 개발,,경력무관,대졸↑,정규직,,서울 영등포구,"~ 12/31(화)
입사지원",,
,에릭슨엘지(주),[Ericsson-LG] Software Developer (신입/경력) 채용,,경력무관,대졸↑,정규직,,서울 금천구,"~ 01/08(수)
홈페이지 지원",,
,(주)뉴로메카,[뉴로메카] 제품개발(SW) 담당자 채용,,신입·경력,대졸↑,정규직·계약직,,서울 성동구,"~ 02/11(화)
입사지원",,
,(주)메타엠,[메타엠]AICC R&D실/개발실/A솔루션실 개발자 채용,,경력무관,학력무관,정규직,,서울 중구,"상시채용
입사지원",,
,(주)리플에이아이,[RippleAI] 서울대 컴퓨터공학부 교수님과 함께할 AI연구원 모집,,경력무관,대졸↑,정규직,,서울 마포구,"채용시
입사지원",,
,(주)이너버스,통합보안관리 솔루션 기술 엔지니어(신입),,신입·경력,초대졸↑,정규직,,서울전체,"~ 01/01(수)
입사지원",,
,(유)삼송,(유)삼송 SW/HW/SWQA 신입/경력직 모집,,경력무관,학력무관,정규직,,서울 금천구,"~ 12/18(수)
입사지원",,
,(주)씨메스,AI 로보틱스 어플리케이션 소프트웨어 개발자,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/31(화)
점핏에서 지원",,
,(주)연합인포맥스,연합인포맥스 금융공학연구소 신입/경력 사원 모집,,신입·경력,대졸↑,정규직,,서울전체,"~ 12/19(목)
홈페이지 지원",,
,(주)퍼플아카데미,데이터 분석가 신입/경력 채용,,신입·경력,대졸↑,정규직,,서울전체,"~ 12/25(수)
점핏에서 지원",,
,(주)아이아이컴바인드,[아이아이컴바인드] 로봇 소프트웨어 엔지니어 채용 - ROS2,,신입·경력,대졸↑,정규직,,서울 마포구,"~ 01/26(일)
입사지원",,
,컴즈(주),S/W QA & Test Engineer (신입/경력) 모집합니다.,,경력무관,초대졸↑,정규직·프리랜서,,서울 구로구,"~ 01/01(수)
입사지원",,
,(주)타임게이트,빅데이터(Splunk) 신입 엔지니어 모집,,신입,초대졸↑,정규직·계약직,,서울 성동구,"~ 12/20(금)
입사지원",,
,(주)우진플라임,㈜우진플라임 부문별 인재채용,,신입·경력,학력무관,정규직,,서울전체,"~ 01/11(토)
입사지원",,
,(주)컴트루테크놀로지,[AI인공지능/정보보안] 딥러닝 아키텍쳐 (AI/알고리즘연구),,신입·경력,대졸↑,정규직,,서울 마포구,"~ 01/05(일)
입사지원",,
,(주)클레,데스크탑 앱 개발자,,신입·경력,대졸↑,정규직,,서울전체,"~ 01/02(목)
입사지원",,
,(주)인티그리트,"[지능형 로보틱스 플랫폼] AI 플랫폼,디바이스S/W, 펌웨어 개발",,경력무관,학력무관,정규직,,서울 강남구,"~ 01/08(수)
입사지원",,
,디아이티(주),2024년 하반기 각 부문별 신입/경력 채용,,신입·경력,초대졸↑,정규직,,경기 화성시,"~ 01/09(목)
입사지원",,
,(주)씨메스,Generative AI 및 인공지능 유지 관리 연구,,신입·경력,대졸↑,정규직,,서울전체,"~ 12/27(금)
점핏에서 지원",,
,(주)딥브레인에이아이,[딥브레인AI]  Back-End 개발자 채용 (산업기능요원/보충역),,경력무관,학력무관,정규직,,서울 강남구,"~ 01/09(목)
입사지원",,
,블루닷(주),딥러닝 알고리즘 엔지니어(신입),,신입·경력,대졸↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,디딤365(주),클라우드 SE 신입 및 경력사원 채용,,신입·경력,초대졸↑,정규직,,서울 구로구,"상시채용
입사지원",,
,넛지헬스케어(주),[병역특례] 데이터분석 담당 산업기능요원 모집,,신입·경력,학력무관,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,메가존클라우드(주),"Solutions Architect, AWS 채용",,경력무관,학력무관,정규직,,서울전체,"상시채용
홈페이지 지원",,
,(주)딥노이드,AI연구원 (Computer Vision AI),,신입·경력,석사↑,정규직,,서울전체,"~ 01/03(금)
입사지원",,
,(주)포인트모바일,모바일 결제 솔루션 개발자 신입/경력 채용,,신입·경력,대졸↑,정규직,,서울 금천구,"~ 01/08(수)
입사지원",,
,롯데손해보험(주),신입사원 채용공고,,신입,대졸↑,정규직,,서울 중구,"~ 12/19(목)
홈페이지 지원",,
,로데슈바르즈코리아(주),로데슈바르즈코리아 R&D 소프트웨어 개발자 신입/경력직(서울),,신입·경력,대졸↑,정규직,,서울 강남구,"채용시
입사지원",,
,(주)모비핀테크놀러지,"성실, 배움의 의지있는 신입 S/W개발자 모집합니다(자동차 전장)",,경력무관,초대졸↑,정규직,,서울 강남구,"오늘마감
입사지원",,
,왓트(주),Watt 개발 전문인력 모집,,경력무관,학력무관,정규직,,서울 서초구,"상시채용
입사지원",,
,넛지헬스케어(주),[캐시워크] 데이터분석 담당 (석사/박사),,신입·경력,석사↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,(주)비투엔,[비투엔]  데이터 컨설팅 및 구축 사업 포지션별 담당자 채용,,신입·경력,초대졸↑,정규직·계약직,,서울 용산구,"~ 12/25(수)
입사지원",,
,디딤365(주),정보보안 직무 채용,,신입·경력,초대졸↑,정규직,,서울 구로구,"~ 12/25(수)
입사지원",,
,(주)아이센스,㈜아이센스 2024년 신입/경력 수시채용,,신입·경력,대졸↑,정규직,,서울 서초구,"내일마감
홈페이지 지원",,
,(주)다하미커뮤니케이션즈,SE(시스템 엔지니어) 담당자 신입/경력 채용,,경력무관,대졸↑,정규직,,서울 중구,"내일마감
입사지원",,
,청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,,신입·경력,학력무관,정규직,,서울전체,"~ 12/27(금)
입사지원",,
